gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp
gml/Darkstrand.gml,28,31,1,3,False,True,False,3,0,0.416,0,SAT,False,0.212,0.19,0.01,99,63500,62.01,2026-07-05T17:59:44
gml/Dataxchange.gml,6,11,1,3,False,True,False,3,0,0.37,0,SAT,False,0.014,0.0,0.0,100,34740,33.93,2026-07-05T17:59:45
gml/Deltacom.gml,113,183,1,3,False,True,False,3,0,0.564,0,SAT,False,18.823,18.58,0.24,99,877096,856.54,2026-07-05T17:59:45
gml/DeutscheTelekom.gml,39,62,1,3,False,True,False,3,0,0.407,0,SAT,False,0.534,0.5,0.02,99,97976,95.68,2026-07-05T18:00:05
gml/DeutscheTelekomIpTransitIpPopsOnly.gml,39,62,1,3,False,True,False,3,0,0.412,0,SAT,False,0.166,0.14,0.02,100,74296,72.55,2026-07-05T18:00:06
gml/Dfn.gml,58,87,1,3,False,True,False,3,0,0.438,0,SAT,False,1.554,1.49,0.05,99,171152,167.14,2026-07-05T18:00:06
gml/DialtelecomCz.gml,193,151,1,3,False,True,False,3,0,0.751,-9,TIMEOUT,True,30.074,,,,,,2026-07-05T18:00:08
gml/Digex.gml,31,38,1,3,False,True,False,3,0,0.414,0,SAT,False,0.207,0.19,0.01,99,66868,65.3,2026-07-05T18:00:39
gml/Easynet.gml,19,29,1,3,False,True,False,3,0,0.379,0,SAT,False,0.052,0.04,0.0,98,45572,44.5,2026-07-05T18:00:40
gml/Eenet.gml,13,16,1,3,False,True,False,3,0,0.382,0,SAT,False,0.034,0.02,0.0,96,38816,37.91,2026-07-05T18:00:40
gml/EliBackbone.gml,20,30,1,3,False,True,False,3,0,0.379,0,SAT,False,0.068,0.05,0.0,100,45180,44.12,2026-07-05T18:00:40
gml/Epoch.gml,6,7,1,3,False,True,False,3,0,0.404,0,SAT,False,0.015,0.0,0.0,92,34744,33.93,2026-07-05T18:00:41
