gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Dfn.gml,58,87,1,1,False,False,True,3,0,0.38,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:37:11,1
gml/DialtelecomCz.gml,193,151,1,1,False,False,True,3,0,0.55,-9,TIMEOUT,True,2.023,,,,,,2026-07-10T00:37:14,1
gml/Digex.gml,31,38,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:16,1
gml/Easynet.gml,19,29,1,1,False,False,True,3,0,0.365,0,UNSAT,False,0.094,0.08,0.01,98,42408,41.41,2026-07-10T00:37:18,1
gml/Eenet.gml,13,16,1,1,False,False,True,3,0,0.362,0,UNSAT,False,0.12,0.1,0.01,100,38324,37.43,2026-07-10T00:37:19,1
gml/EliBackbone.gml,20,30,1,1,False,False,True,3,0,0.363,0,UNSAT,False,0.194,0.18,0.01,100,46736,45.64,2026-07-10T00:37:19,1
gml/Epoch.gml,6,7,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:20,1
gml/Ernet.gml,30,32,1,1,False,False,True,3,0,0.364,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:22,1
gml/Esnet.gml,68,92,1,1,False,False,True,3,0,0.382,-9,TIMEOUT,True,2.012,,,,,,2026-07-10T00:37:25,1
gml/Eunetworks.gml,15,19,1,1,False,False,True,3,0,0.365,0,UNSAT,False,0.073,0.06,0.0,98,37748,36.86,2026-07-10T00:37:27,1
gml/Evolink.gml,37,45,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:28,1
gml/Fatman.gml,17,21,1,1,False,False,True,3,0,0.369,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:30,1
gml/Fccn.gml,23,27,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:32,1
gml/Forthnet.gml,62,62,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:37:35,1
gml/Funet.gml,26,31,1,1,False,False,True,3,0,0.362,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:37,1
gml/Gambia.gml,28,28,1,1,False,False,True,3,0,0.367,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:39,1
